date_time,amount,method,id
2026-05-29 19:17:17.675863,1100.00,BALANCE,60448
2026-05-29 19:08:27.836241,4100.00,card,60444
2026-05-29 19:07:56.505093,3000.00,card,60443
2026-05-29 19:05:22.096401,4100.00,transa,60442
2026-05-29 19:00:01.040607,4100.00,BALANCE,60441
2026-05-29 18:59:05.921408,1700.00,transa,60440
2026-05-29 18:47:24.916041,3000.00,transa,60438
2026-05-29 18:33:30.583392,3000.00,card,60435
2026-05-29 18:20:14.087285,4100.00,card,60433
2026-05-29 18:12:15.316053,4100.00,transa,60430
2026-05-29 18:04:30.189463,4100.00,transa,60428
2026-05-29 18:02:42.802077,2870.000,USDT,60426
2026-05-29 17:57:00.933186,4400.00,card,60424
2026-05-29 17:30:55.68148,4100.00,transa,60415
2026-05-29 17:29:47.764438,3000.00,card,60413
2026-05-29 17:03:37.809045,4100.00,transa,60409
2026-05-29 16:57:48.401795,4100.00,card,60405
2026-05-29 16:57:42.057279,2000.00,card,60404
2026-05-29 16:52:46.649117,4100.00,card,60401
2026-05-29 16:32:11.618114,4100.00,transa,60397
2026-05-29 16:27:44.69479,3000.00,transa,60396
2026-05-29 15:47:53.051954,2870.000,USDT,60389
2026-05-29 15:41:00.787688,2600.00,transa,60388
2026-05-29 15:40:41.954011,4100.00,transa,60387
2026-05-29 15:31:02.529365,4100.00,transa,60384
2026-05-29 15:28:59.977275,2000.00,BALANCE,60383
2026-05-29 15:20:40.050023,4400.00,card,60382
2026-05-29 15:17:59.543805,4100.00,card,60381
2026-05-29 15:00:40.283232,1500.00,BALANCE,60379
2026-05-29 14:24:57.440559,0.00,BALANCE,60375
2026-05-29 14:10:57.655932,0.00,BALANCE,60371
2026-05-29 14:05:09.59104,4100.00,transa,60370
2026-05-29 14:00:00.690417,4100.00,card,60368
2026-05-29 13:47:09.084916,4100.00,transa,60366
2026-05-29 13:42:07.491557,4100.00,transa,60364
2026-05-29 13:24:44.19512,4100.00,BALANCE,60360
2026-05-29 13:00:45.790769,1700.00,BALANCE,60355
2026-05-29 12:54:56.43203,3000.00,card,60354
2026-05-29 12:41:14.957,4100.00,card,60353
2026-05-29 12:00:09.260948,4100.00,BALANCE,60348
2026-05-29 11:52:22.075963,4100.00,card,60347
2026-05-29 10:56:55.161197,1100.00,BALANCE,60341
2026-05-29 10:56:10.300723,7100.00,card,60339
2026-05-29 09:33:21.904164,1100.00,BALANCE,60333
2026-05-29 08:19:50.824098,3000.00,transa,60328
2026-05-29 07:46:46.848342,2100.000,USDT,60326
2026-05-29 07:16:38.856835,4100.00,card,60323
2026-05-29 06:45:54.930448,4100.00,card,60315
2026-05-29 04:46:42.422811,4100.00,BALANCE,60308
2026-05-29 03:59:48.263986,1700.00,card,60306
2026-05-29 02:52:51.910496,4100.00,transa,60303
2026-05-29 02:37:04.792566,0.00,BALANCE,60301
2026-05-29 02:28:47.24089,4100.00,BALANCE,60299
2026-05-29 02:16:07.176207,4100.00,transa,60296
2026-05-29 01:20:28.144491,2870.000,USDT,60293
2026-05-29 01:17:35.394119,4100.00,transa,60292
2026-05-29 01:07:13.87198,4100.00,transa,60290
2026-05-29 00:41:23.135917,2870.000,USDT,60286
2026-05-29 00:30:53.931315,4100.00,transa,60284
2026-05-29 00:10:05.739467,4100.00,transa,60282
2026-05-28 23:10:13.601346,2600.00,transa,60279
2026-05-28 23:10:04.396717,0.00,BALANCE,60278
2026-05-28 23:00:03.398958,4100.00,transa,60276
2026-05-28 22:45:16.065512,4100.00,BALANCE,60274
2026-05-28 22:38:52.075811,3400.00,BALANCE,60273
2026-05-28 22:17:53.384635,4100.00,transa,60264
2026-05-28 21:56:31.80206,4100.00,transa,60261
2026-05-28 21:55:27.699333,1100.00,BALANCE,60259
2026-05-28 21:41:23.648816,4100.00,transa,60254
2026-05-28 21:39:37.59956,4100.00,BALANCE,60253
2026-05-28 21:38:26.724147,3000.00,BALANCE,60252
2026-05-28 21:23:26.346693,2100.000,USDT,60249
2026-05-28 21:12:03.582093,4100.00,BALANCE,60246
2026-05-28 21:06:39.054801,4100.00,transa,60244
2026-05-28 20:41:15.718379,7100.00,transa,60232
2026-05-28 20:13:33.834345,4100.00,transa,60224
2026-05-28 20:09:11.383051,2870.000,USDT,60219
2026-05-28 20:04:47.024349,4100.00,transa,60216
2026-05-28 19:38:11.457903,2600.00,transa,60205
2026-05-28 19:33:55.216423,4100.00,transa,60204
2026-05-28 19:24:55.140126,4970.000,USDT,60203
2026-05-28 19:08:03.988508,3000.00,BALANCE,60200
2026-05-28 18:56:35.537115,4100.00,card,60198
2026-05-28 18:45:22.643808,3000.00,card,60195
2026-05-28 18:40:18.596221,4100.00,BALANCE,60194
2026-05-28 18:37:04.029295,2000.00,BALANCE,60193
2026-05-28 18:04:51.973903,4100.00,transa,60187
2026-05-28 17:58:56.30003,1700.00,card,60185
2026-05-28 17:56:18.392976,1100.00,BALANCE,60183
2026-05-28 17:42:24.892731,4100.00,transa,60177
2026-05-28 17:28:19.647632,4100.00,card,60174
2026-05-28 17:17:34.532927,1700.00,card,60171
2026-05-28 17:14:58.370111,2000.00,BALANCE,60170
2026-05-28 17:10:49.364549,0.00,BALANCE,60169
2026-05-28 16:59:43.105565,1100.00,BALANCE,60166
2026-05-28 16:54:05.747433,3000.00,BALANCE,60165
2026-05-28 16:44:55.173291,1100.00,BALANCE,60163
2026-05-28 16:35:18.334036,3100.00,BALANCE,60160
2026-05-28 16:22:03.447065,1700.00,card,60156
2026-05-28 16:02:34.234047,0.00,BALANCE,60148
2026-05-28 16:01:14.623149,2100.000,USDT,60146
2026-05-28 16:00:34.22842,2000.00,BALANCE,60144
2026-05-28 16:00:17.862163,1100.00,BALANCE,60143
2026-05-28 15:54:35.903558,4100.00,card,60139
2026-05-28 15:53:31.282412,0.00,BALANCE,60138
2026-05-28 15:50:02.562522,0.00,BALANCE,60137
2026-05-28 15:49:04.084163,2870.000,USDT,60136
2026-05-28 15:48:08.274063,3000.00,BALANCE,60135
2026-05-28 15:38:59.128888,1700.00,BALANCE,60133
2026-05-28 15:24:12.798175,4100.00,transa,60125
2026-05-28 15:12:08.5851,3000.00,transa,60119
2026-05-28 14:43:58.956528,1500.00,BALANCE,60118
2026-05-28 14:41:54.197032,4200.00,BALANCE,60117
2026-05-28 14:27:10.034891,4100.00,transa,60114
2026-05-28 14:18:24.586527,4100.00,transa,60111
2026-05-28 14:00:03.105147,7100.00,transa,60108
2026-05-28 13:41:22.593874,0.00,BALANCE,60105
2026-05-28 13:40:02.694578,0.00,BALANCE,60104
2026-05-28 12:56:11.675725,2870.000,USDT,60099
2026-05-28 12:55:44.055034,4100.00,card,60098
2026-05-28 12:48:19.188992,4100.00,transa,60097
2026-05-28 12:40:28.042428,2870.000,USDT,60094
2026-05-28 12:19:45.609569,4100.00,card,60092
2026-05-28 12:08:13.380409,2100.000,USDT,60090
2026-05-28 12:06:08.063903,4100.00,card,60088
2026-05-28 11:32:38.463783,2870.000,USDT,60080
2026-05-28 11:21:03.480148,2870.000,USDT,60079
2026-05-28 11:06:59.928464,2000.00,card,60076
2026-05-28 10:58:13.914152,3100.00,BALANCE,60073
2026-05-28 09:22:57.706524,4100.00,BALANCE,60067
2026-05-28 08:27:03.117012,4100.00,transa,60060
2026-05-28 07:53:18.449214,4100.00,card,60058
2026-05-28 07:49:48.821414,1700.00,card,60057
2026-05-28 06:40:51.962791,4100.00,transa,60050
2026-05-28 06:14:52.129959,2870.000,USDT,60049
2026-05-28 05:13:52.065879,4100.00,BALANCE,60045
2026-05-28 03:06:18.19079,4970.000,USDT,60041
2026-05-28 02:25:15.177106,4100.00,transa,60039
2026-05-28 01:29:51.213318,1700.00,card,60035
2026-05-28 01:15:20.118738,3000.00,transa,60034
2026-05-28 00:42:26.199838,2870.000,USDT,60033
2026-05-28 00:26:21.748405,4100.00,card,60032
2026-05-28 00:11:03.626387,3000.00,card,60029
2026-05-27 23:37:07.406073,2870.000,USDT,60024
2026-05-27 23:34:45.010721,3000.00,transa,60022
2026-05-27 23:21:35.672127,4100.00,transa,60020
2026-05-27 23:01:53.964015,4100.00,transa,60019
2026-05-27 22:35:18.93716,1700.00,BALANCE,60014
2026-05-27 22:06:13.038104,1700.00,transa,60013
2026-05-27 21:42:09.044463,4100.00,transa,60011
2026-05-27 21:38:36.982704,4100.00,transa,60010
2026-05-27 21:37:26.777727,4100.00,BALANCE,60009
2026-05-27 21:33:45.133997,4100.00,card,60008
2026-05-27 20:59:00.17201,4100.00,card,60002
2026-05-27 20:55:21.795635,4000.00,BALANCE,60001
2026-05-27 20:53:34.028905,0.00,BALANCE,59999
2026-05-27 20:33:58.241473,4100.00,transa,59997
2026-05-27 20:26:23.188287,4100.00,card,59996
2026-05-27 20:03:31.76071,4100.00,transa,59994
2026-05-27 19:40:48.262061,1100.00,BALANCE,59989
2026-05-27 19:26:16.70393,1700.00,transa,59987
2026-05-27 19:15:24.899331,2870.000,USDT,59985
2026-05-27 19:04:37.60388,4970.000,USDT,59983
2026-05-27 18:55:05.734939,3000.00,BALANCE,59982
2026-05-27 18:53:49.731752,4100.00,card,59981
2026-05-27 18:50:22.896862,4100.00,transa,59980
2026-05-27 18:34:06.985387,4100.00,transa,59976
2026-05-27 18:33:15.70412,4100.00,transa,59975
2026-05-27 18:11:25.759232,4100.00,transa,59972
2026-05-27 18:10:57.49532,4200.00,BALANCE,59971
2026-05-27 18:09:47.443134,3500.00,BALANCE,59970
2026-05-27 18:08:40.496084,200.00,BALANCE,59969
2026-05-27 18:02:13.740165,7100.00,transa,59965
2026-05-27 17:49:05.629909,4100.00,transa,59955
2026-05-27 17:29:12.572832,4100.00,card,59940
2026-05-27 16:58:52.504309,7100.00,BALANCE,59936
2026-05-27 16:54:24.947877,4100.00,BALANCE,59934
2026-05-27 16:53:14.116635,7100.00,BALANCE,59933
